Omega,switch_rate,measurement_interval,trajectory_KL_nats_per_measurement,KL_batch_standard_error,measurements_for_log_likelihood_log20,stationary_hidden_entropy_rate,hidden_entropy_per_KL_nat
0.0,1.0,1.0,0.002762241308711551,5.628419288924049e-06,1084.5295319080403,0.07337322284388612,26.562930114933042
0.0,1.5848931924611136,1.0,0.001583047968013698,2.49225488973392e-06,1892.38250140508,0.0878204237072465,55.475529157488296
0.0,2.51188643150958,1.0,0.0008126656122464809,9.510334665937082e-07,3686.303724938945,0.10027859690213438,123.39465998189665
0.0,3.981071705534973,1.0,0.0003844483173057685,5.581038839648617e-07,7792.288686677628,0.11013663867035937,286.47970016412614
0.0,6.309573444801933,1.0,0.0001705433243092617,2.2794785832118352e-07,17565.813764258266,0.1174198681448144,688.5046284889245
0.0,10.0,1.0,7.274323653983108e-05,1.0423918442827938e-07,41182.279151322284,0.12253248708255243,1684.4519560998485
0.0,15.848931924611142,1.0,3.026491470136827e-05,4.043960379584283e-08,98983.66815547491,0.1259938831601729,4163.034470884425
0.0,25.11886431509581,1.0,1.2372015235265517e-05,1.4777206906387249e-08,242137.7776043208,0.12828032468599546,10368.587675218976
0.0,39.810717055349734,1.0,5.014348590871703e-06,5.618212084606805e-09,597431.9932618022,0.1297661648976462,25878.967635771696
0.0,63.09573444801933,1.0,2.0195598928056807e-06,2.5091159097130245e-09,1483358.9655972812,0.1307215074105877,64727.72007220958
0.0,100.0,1.0,8.096359322119099e-07,8.215744981542156e-10,3700097.975357526,0.13133155924186543,162210.63569037768
0.0,158.48931924611142,1.0,3.2384914358180125e-07,4.887041506612645e-10,9250394.305264844,0.1317194143172113,406730.77859765966
0.0,251.18864315095823,1.0,1.2891039413722427e-07,2.0813579623346324e-10,23238872.96756733,0.13196531525100755,1023698.020118776
0.0,398.1071705534973,1.0,5.1537625727502766e-08,5.770692633467455e-11,58127091.251612216,0.13212094121187035,2563582.2245758744
0.0,630.9573444801937,1.0,2.0490804826479833e-08,3.305389823969473e-11,146198858.41100147,0.13221932355850835,6452617.39000335
0.0,1000.0,1.0,8.161335337787922e-09,1.0077811881663659e-11,367063985.1892135,0.13228147404665774,16208312.558139756
0.0,1584.893192461114,1.0,3.2554609196210295e-09,4.1759824945984665e-12,920217550.6080798,0.13232071842584447,40645770.81184806
0.0,2511.886431509582,1.0,1.2982400199102413e-09,1.893983316536312e-12,2307533451.1418867,0.1323454919385156,101942237.11241455
0.0,3981.0717055349733,1.0,5.151688604703581e-10,7.102904531915262e-13,5815049207.009203,0.13236112774183834,256927655.95535088
0.0,6309.573444801937,1.0,2.053803964872349e-10,2.440584832926693e-13,14586262003.541248,0.13237099516786535,644516212.0236372
0.0,10000.0,1.0,8.192870412458052e-11,1.2042577438433206e-13,36565112381.109924,0.13237722184981898,1615761206.823516
0.4,1.0,1.0,0.0023181917648863845,4.913219296344685e-06,1292.2711222299647,0.08455397095206349,36.47410547858948
0.4,1.5848931924611136,1.0,0.0013340074379233238,1.923750925629096e-06,2245.6638459359024,0.09572186218898472,71.75511880053448
0.4,2.51188643150958,1.0,0.0006895107989243402,9.425846063905382e-07,4344.721327392454,0.10601185692709356,153.74937867902227
0.4,3.981071705534973,1.0,0.00032770070895223724,4.221148275143929e-07,9141.671628152084,0.11449764851624585,349.3970119330258
0.4,6.309573444801933,1.0,0.00014527666520096724,2.0324601593784784e-07,20620.877202886437,0.12092564503004663,832.3817514861397
0.4,10.0,1.0,6.197230988669719e-05,5.9235333280026145e-08,48339.85176655561,0.125505869408632,2025.1926971592964
0.4,15.848931924611142,1.0,2.581416403638053e-05,3.388400975868123e-08,116049.94333080214,0.12863475021481047,4983.107337255717
0.4,25.11886431509581,1.0,1.0559301030773061e-05,1.5402481492058167e-08,283705.54687507276,0.1307127970502358,12378.92514564159
0.4,39.810717055349734,1.0,4.284624097600045e-06,5.368438507732732e-09,699182.053154207,0.1320677038287069,30823.638391681136
0.4,63.09573444801933,1.0,1.7273904972627309e-06,2.2470124801333663e-09,1734253.070339977,0.13294064831302713,76960.39113546614
0.4,100.0,1.0,6.909188419998442e-07,1.3706661748347463e-09,4335867.096753263,0.13349879413884388,193219.21190111933
0.4,158.48931924611142,1.0,2.7667560914962045e-07,4.960740943718355e-10,10827598.004614715,0.13385393137571136,483793.75322284346
0.4,251.18864315095823,1.0,1.1022906388930203e-07,1.2496559325784206e-10,27177335.70306346,0.13407920155463213,1216368.8670102623
0.4,398.1071705534973,1.0,4.395209027340119e-08,7.43820421158131e-11,68159039.87544684,0.13422181543652867,3053820.981018431
0.4,630.9573444801937,1.0,1.7510077001901057e-08,2.3328440053392844e-11,171086185.01384923,0.13431198971245006,7670553.915774779
0.4,1000.0,1.0,6.99754750852029e-09,1.2052351306462712e-11,428111744.8515147,0.1343689620493137,19202293.64440964
0.4,1584.893192461114,1.0,2.7882197443616975e-09,4.396803264145444e-12,1074424739.8763754,0.1344049395500288,48204572.047027774
0.4,2511.886431509582,1.0,1.1088699144859013e-09,1.3991979800967089e-12,2701608398.2609305,0.13442765192655445,121229415.79570074
0.4,3981.0717055349733,1.0,4.416571916578063e-10,6.827845960414974e-13,6782935566.630755,0.1344419872905336,304403482.6782546
0.4,6309.573444801937,1.0,1.7594078872578797e-10,1.7282175919672594e-13,17026934432.032024,0.13445103421455218,764183423.2316673
0.4,10000.0,1.0,6.998379035456587e-11,9.818248506317991e-14,42806087786.56333,0.1344567432026083,1921255515.3328605
0.8,1.0,1.0,0.0013285652224925596,1.7483739979288318e-06,2254.8627819216968,0.10840263672208791,81.59376362321949
0.8,1.5848931924611136,1.0,0.0007813543108232851,8.367054201421256e-07,3834.0253993063593,0.11332405480609659,145.03542533308746
0.8,2.51188643150958,1.0,0.0004113562777054612,4.1190456676233555e-07,7282.573369887869,0.1191452976429829,289.64015890938504
0.8,3.981071705534973,1.0,0.00019731566844887556,2.0438614778121202e-07,15182.434811709767,0.12465743497275147,631.766528997418
0.8,6.309573444801933,1.0,8.834133142974368e-05,1.5658377807498302e-07,33910.8798234091,0.12917542894190998,1462.2309495600136
0.8,10.0,1.0,3.795937197820772e-05,5.6685898462588134e-08,78919.43721497357,0.13254526309291906,3491.7664910002363
0.8,15.848931924611142,1.0,1.584519940655348e-05,2.0915325045710576e-08,189062.453345647,0.13491010834309508,8514.257528832175
0.8,25.11886431509581,1.0,6.504672532039335e-06,9.198034362877535e-09,460550.82078279095,0.1365062353000624,20985.873558997624
0.8,39.810717055349734,1.0,2.6380018722476e-06,3.941932507299481e-09,1135606.575973201,0.13755716132286858,52144.45174205608
0.8,63.09573444801933,1.0,1.0609133484742669e-06,1.5656499254853567e-09,2823729.4571345043,0.13823834080832903,130301.25505267133
0.8,100.0,1.0,4.272094625316821e-07,7.619449920431773e-10,7012326.589867671,0.13867550233626513,324607.74982478505
0.8,158.48931924611142,1.0,1.7069489185895876e-07,2.1142717192410826e-10,17550216.300727352,0.13895430723735486,814050.7646366453
0.8,251.18864315095823,1.0,6.835552868054332e-08,8.35058152311513e-11,43825749.451144174,0.13913141612645183,2035408.3833756396
0.8,398.1071705534973,1.0,2.7185624201144463e-08,4.5655982609355686e-11,110195456.6644777,0.13924364267243597,5121958.63674795
0.8,630.9573444801937,1.0,1.085696182102588e-08,1.3974211265575327e-11,275927310.3228913,0.13931464396743776,12831825.90710021
0.8,1000.0,1.0,4.324708056730815e-09,6.8917420055179876e-12,692701619.2206417,0.13935951901819427,32224029.273213085
0.8,1584.893192461114,1.0,1.7192859389639133e-09,2.568382188626439e-12,1742428182.3413837,0.13938786366469708,81073113.26508948
0.8,2511.886431509582,1.0,6.854520447743196e-10,7.161824778885592e-13,4370447643.117492,0.13940576004233673,203377845.4745658
0.8,3981.0717055349733,1.0,2.72655719836062e-10,3.0683695627730175e-13,10987234287.090021,0.13941705671894472,511330027.48950636
0.8,6309.573444801937,1.0,1.0869184787658761e-10,1.4778066458901604e-13,27561701563.446106,0.1394241863618303,1282747410.0922198
0.8,10000.0,1.0,4.3197833784768484e-11,6.274736427697134e-14,69349131914.34805,0.13942868562765431,3227677719.2660236
