Omega,switch_rate,mean_sigma_z_full,mean_sigma_z_effective,stationary_trace_distance,relative_spectral_distance,zero_frequency_spectrum_ratio,slowest_visible_decay_rate,sigma_full,sigma_hidden
0.0,0.001,-0.5262982242903335,-0.4015019152808916,0.06239815450472094,0.9228490513071621,74.58630418965006,0.0019999999999998855,0.00016439414810963117,0.00016439414810961935
0.0,0.001188502227437019,-0.5262690194562043,-0.4015019152808916,0.06238355208765635,0.9109877836970384,62.94316262736688,0.0023770044548739313,0.0001953370877174593,0.0001953370877174416
0.0,0.001412537544622754,-0.5262343272177028,-0.4015019152808916,0.0623662059684056,0.8974845513656006,53.128475040818564,0.0028250750892454264,0.00023209401077788349,0.00023209401077793073
0.0,0.0016788040181225606,-0.5261931204972807,-0.4015019152808916,0.06234560260819455,0.882219307644385,44.859602001686,0.0033576080362452076,0.0002757531206112135,0.0002757531206112076
0.0,0.001995262314968879,-0.5261441816125887,-0.4015019152808916,0.062321133165848544,0.8650938592757937,37.895770266124536,0.003990524629937539,0.00032760456913202005,0.00032760456913202596
0.0,0.0023713737056616554,-0.5260860675754706,-0.4015019152808916,0.062292076147289516,0.8460413666042864,32.03262441149895,0.004742747411323474,0.0003891772229206836,0.0003891772229206482
0.0,0.002818382931264455,-0.5260170693502864,-0.4015019152808916,0.06225757703469739,0.8250358611473274,27.09716456374629,0.005636765862529025,0.0004622818296918796,0.0004622818296919268
0.0,0.003349654391578276,-0.5259351641345447,-0.4015019152808916,0.062216624426826544,0.8021007798374399,22.943200141755653,0.006699308783156501,0.0005490615776155949,0.0005490615776155949
0.0,0.003981071705534973,-0.5258379596291455,-0.4015019152808916,0.06216802217412694,0.7773153640167698,19.447352886639326,0.007962143411070051,0.0006520511418292935,0.000652051141829264
0.0,0.0047315125896148025,-0.5257226291821437,-0.4015019152808916,0.06211035695062608,0.7508177961699909,16.505591150438963,0.009463025179229473,0.0007742454005034345,0.0007742454005033932
0.0,0.005623413251903491,-0.5255858366343209,-0.4015019152808916,0.06204196067671469,0.7228041963981139,14.030252565029533,0.011246826503807074,0.0009191790620607931,0.0009191790620607695
0.0,0.006683439175686149,-0.5254236496865206,-0.4015019152808916,0.06196086720281449,0.6935230689432728,11.947502376255542,0.013366878351372371,0.0010910184537279099,0.0010910184537279335
0.0,0.007943282347242814,-0.5252314406781391,-0.4015019152808916,0.06186476269862376,0.6632654049982939,10.195173123830418,0.015886564694485752,0.0012946666481158916,0.0012946666481158974
0.0,0.009440608762859235,-0.5250037738545403,-0.4015019152808916,0.061750929286824394,0.6323512835675583,8.720934002501965,0.018881217525718298,0.0015358829050316548,0.0015358829050317374
0.0,0.011220184543019636,-0.5247342785650897,-0.4015019152808916,0.06161618164209906,0.6011143192480183,7.4807428712545265,0.02244036908603919,0.001821417019974958,0.001821417019974958
0.0,0.01333521432163324,-0.524415508449527,-0.4015019152808916,0.06145679658431774,0.5698855657621803,6.437539206903098,0.026670428643266252,0.002159158518178586,0.002159158518178651
0.0,0.015848931924611134,-0.5240387876372814,-0.4015019152808916,0.061268436178194885,0.538978448022749,5.560141636740828,0.03169786384922233,0.0025582996086385866,0.002558299608638575
0.0,0.018836490894898,-0.523594046426977,-0.4015019152808916,0.061046065573042735,0.5086759976489549,4.8223186844470876,0.037672981789796174,0.003029509284036053,0.003029509284036112
0.0,0.02238721138568339,-0.523069650982623,-0.4015019152808916,0.06078386785086573,0.47922120582318734,4.2020058705563805,0.044774422771366534,0.0035851137600516033,0.0035851137600516093
0.0,0.0266072505979881,-0.5224522344501272,-0.4015019152808916,0.06047515958461781,0.4508108070683575,3.6806462777270714,0.053214501195976135,0.0042392754098421635,0.0042392754098421045
0.0,0.03162277660168379,-0.521726540739087,-0.4015019152808916,0.06011231272909767,0.42359237640735314,3.2426351331722594,0.06324555320336767,0.005008158279462771,0.005008158279462724
0.0,0.037583740428844416,-0.5208752971806961,-0.4015019152808916,0.05968669094990228,0.3976643270779393,2.874851916037975,0.07516748085768901,0.0059100630086395545,0.005910063008639578
0.0,0.0446683592150963,-0.5198791384308737,-0.4015019152808916,0.059188611574991085,0.37307825473893985,2.566266018987885,0.08933671843019281,0.006965507456494314,0.006965507456494337
0.0,0.05308844442309882,-0.5187166112347914,-0.4015019152808916,0.058607347976949914,0.3498430658814042,2.3076041379404275,0.10617688884619779,0.00819722165345746,0.008197221653457543
0.0,0.0630957344480193,-0.5173642975984589,-0.4015019152808916,0.057931191158783674,0.3279304090287254,2.0910693894809906,0.12619146889603863,0.00963001729921164,0.009630017299211634
0.0,0.07498942093324558,-0.51579710164332,-0.4015019152808916,0.057147593181214235,0.30728104634023107,1.9101037184936027,0.14997884186649116,0.011290483836143596,0.01129048383614362
0.0,0.08912509381337455,-0.5139887513967212,-0.4015019152808916,0.05624341805791483,0.28781191382841526,1.7591865137271063,0.17825018762674932,0.01320645679516225,0.013206456795162221
0.0,0.10592537251772886,-0.5119125685946146,-0.4015019152808916,0.055205326656861536,0.26942368466545463,1.6336635478983477,0.2118507450354576,0.015406202178723044,0.015406202178723056
0.0,0.12589254117941676,-0.5095425539455882,-0.4015019152808916,0.0540203193323483,0.2520086498922781,1.5296014469061663,0.2517850823588336,0.01791726660805773,0.01791726660805774
0.0,0.1496235656094433,-0.5068548182589545,-0.4015019152808916,0.05267645148903147,0.23545865805858837,1.4436639029668328,0.2992471312188871,0.020764961022492104,0.020764961022492073
0.0,0.1778279410038923,-0.5038293574378998,-0.4015019152808916,0.05116372107850409,0.21967272236365148,1.373006790790597,0.3556558820077846,0.02397048004880592,0.02397048004880592
0.0,0.21134890398366454,-0.5004521190343445,-0.4015019152808916,0.04947510187672648,0.20456374524568016,1.3151902038969145,0.422697807967329,0.027548712456793294,0.027548712456793235
0.0,0.25118864315095796,-0.49671724071821766,-0.4015019152808916,0.04760766271866304,0.1900636843285643,1.2681061393439883,0.5023772863019169,0.03150586946903919,0.0315058694690391
0.0,0.298538261891796,-0.4926292632314542,-0.4015019152808916,0.0455636739752813,0.1761264668545234,1.229921026184444,0.5970765237835921,0.0358371401044972,0.03583714010449718
0.0,0.3548133892335753,-0.4882050462342704,-0.4015019152808916,0.04335156547668942,0.1627281284386427,1.1990324051176644,0.7096267784671518,0.04052466131195078,0.04052466131195079
0.0,0.4216965034285822,-0.48347506609646723,-0.4015019152808916,0.04098657540778783,0.14986404640203538,1.17403874819967,0.8433930068571652,0.045536142941559075,0.04553614294155913
0.0,0.501187233627272,-0.47848377461275415,-0.4015019152808916,0.03849092966593129,0.1375437180581576,1.1537206809087341,1.0023744672545443,0.050824487680838304,0.05082448768083836
0.0,0.5956621435290104,-0.4732887667398605,-0.4015019152808916,0.03589342572948445,0.12578415143346006,1.1370309070178053,1.1913242870580207,0.056328672849101674,0.05632867284910169
0.0,0.707945784384138,-0.46795864895962547,-0.4015019152808916,0.033228366839366946,0.11460335461566966,1.1230892596375233,1.4158915687682738,0.06197600889726143,0.06197600889726145
0.0,0.8413951416451948,-0.4625697000496553,-0.4015019152808916,0.030533892384381867,0.10401540107197432,1.111178891478195,1.6246245157089738,0.06768567736909466,0.06768567736909456
0.0,1.0,-0.4572016314589859,-0.4015019152808916,0.027849858089047164,0.0940280257535474,1.100739963281023,1.6863179261108097,0.07337322284388612,0.07337322284388612
0.0,1.1885022274370176,-0.45193292993405265,-0.4015019152808916,0.02521550732658054,0.08464282485830373,1.09135833400281,1.7474126773678467,0.0789554874908481,0.07895548749084806
