switch_rate,p_excited_hot,p_ground_hot,p_excited_cold,p_ground_cold,J_hot_numeric,J_cold_numeric,J_hot_exact,FCS_mean_hot_quanta,FCS_variance_rate,Fano_factor,entropy_production_example
0.0001,0.18999000219732043,0.3100099978026828,0.06001856734783524,0.4399814326521615,1.2997143485043994e-05,-1.299714348494685e-05,1.2997143484948365e-05,1.2997143376983433e-05,1.8734832226819224e-05,1.4414576867711277,1.949571522756599e-05
0.0001122018454301963,0.1899887825816488,0.31001121741836396,0.06002083234837412,0.43997916765161316,1.4582643862864897e-05,-1.4582643862955103e-05,1.4582643862952612e-05,1.4582643615750434e-05,2.1085703070950883e-05,1.4459451678690562,2.1873965794297345e-05
0.00012589254117941674,0.18998741422819726,0.3100125857717947,0.060023373576200426,0.4399766264238077,1.6361503339612504e-05,-1.6361503339619443e-05,1.6361503339625406e-05,1.6361504285388117e-05,2.3604014189883294e-05,1.4426555027072423,2.4542255009418756e-05
0.0001412537544622754,0.18998587900838454,0.31001412099161485,0.060026224698714166,0.4399737753012865,1.835728909979628e-05,-1.835728909986567e-05,1.8357289099860412e-05,1.8357289203737412e-05,2.647269375591366e-05,1.4420807703200542,2.7535933649694422e-05
0.00015848931924611142,0.18998415658678247,0.3100158434132172,0.060029423481689506,0.43997057651831084,2.059643718263504e-05,-2.0596437182628102e-05,2.059643718263631e-05,2.0596437187851043e-05,2.968410304644613e-05,1.4412251388776849,3.089465577395256e-05
0.00017782794100389227,0.1899822241532479,0.3100177758467593,0.06003301228682952,0.4399669877131632,2.3108600781307498e-05,-2.3108600781272803e-05,2.3108600781283107e-05,2.3108600754211432e-05,3.334197934584524e-05,1.4428385214872357,3.466290117196125e-05
0.00019952623149688788,0.1899800561226237,0.3100199438773772,0.06003703862941384,0.4399629613705854,2.5927040589651673e-05,-2.5927040589755757e-05,2.592704058975424e-05,2.5927041241667458e-05,3.740214331323794e-05,1.4425920398941934,3.889056088447751e-05
0.000223872113856834,0.18997762379829886,0.3100223762016947,0.060041555803155504,0.43995844419685093,2.9089062208303984e-05,-2.9089062208317862e-05,2.9089062208318777e-05,2.908906214519617e-05,4.1936222674325044e-05,1.4416491829472915,4.3633593312455976e-05
0.00025118864315095795,0.18997489499522635,0.31002510500476965,0.06004662358029142,0.4399533764197125,3.2636506203775895e-05,-3.263650620366487e-05,3.263650620366742e-05,3.263650665725295e-05,4.70457341990016e-05,1.4415064299949034,4.895475930566384e-05
0.0002818382931264455,0.18997183361760622,0.3100281663822953,0.06005230899581639,0.43994769100428216,3.661629706327996e-05,-3.661629706319669e-05,3.661629706321834e-05,3.66162959016417e-05,5.282585743946435e-05,1.4426870915989045,5.4924445594919935e-05
0.00031622776601683794,0.18996839918615716,0.31003160081384573,0.06005868722570986,0.4399413127742873,4.1081057997105486e-05,-4.108105799714712e-05,4.108105799714269e-05,4.108105758243732e-05,5.923872522271786e-05,1.441996109857775,6.162158699565823e-05
0.0003548133892335753,0.1899645463082067,0.3100354536917912,0.06006584257047201,0.43993415742953007,4.60897993302678e-05,-4.6089799330240044e-05,4.608979933023412e-05,4.608980035050617e-05,6.652217688868264e-05,1.4433166640512922,6.91346989954017e-05
0.00039810717055349735,0.18996022408530988,0.310039775914686,0.06007386955585084,0.43992613044415335,5.1708689095125715e-05,-5.1708689095243676e-05,5.170868909523216e-05,5.1708689315416704e-05,7.458099164226747e-05,1.44232995710513,7.756303364268857e-05
0.00044668359215096305,0.1899553754496725,0.3100446245502666,0.06008287416485806,0.43991712583520276,5.801191539567263e-05,-5.801191539554079e-05,5.801191539554511e-05,5.801191615865511e-05,8.367255755952418e-05,1.4423339737768792,8.701787309350895e-05
0.0005011872336272725,0.18994993642216867,0.31005006357777776,0.06009297521594098,0.4399070247841126,6.508265115426348e-05,-6.508265115418715e-05,6.508265115420675e-05,6.508265135288277e-05,9.383591901599191e-05,1.4417961939996402,9.762397673139522e-05
0.0005623413251903491,0.18994383528229714,0.31005616471770037,0.06010430590430387,0.4398956940956986,7.301413301250004e-05,-7.301413301250698e-05,7.301413301251268e-05,7.301413316209835e-05,0.00010530463186796799,1.44224997692134,0.00010952119951875006
0.000630957344480193,0.18993699164046962,0.31006300835953216,0.060117015524843206,0.439882984475155,8.191086739037234e-05,-8.191086739039316e-05,8.191086739039715e-05,8.191086689421595e-05,0.00011813918434443512,1.4422895132706426,0.00012286630108555852
0.000707945784384138,0.18992931540148122,0.31007068459851805,0.060131271397248796,0.43986872860275195,9.188997807405008e-05,-9.188997807409865e-05,9.188997807410341e-05,9.188997864712555e-05,0.00013247969841264024,1.4417208531670977,0.00013783496711107512
0.0007943282347242813,0.1899207056067771,0.3100792943931543,0.060147261015945266,0.4398527389841234,0.00010308271115588852,-0.00010308271115591627,0.00010308271115595197,0.00010308271085482276,0.00014866391976828714,1.442180929619313,0.00015462406673383278
0.0008912509381337459,0.18991104914252843,0.31008895085747346,0.06016519444959126,0.4398348055504069,0.00011563611471396285,-0.00011563611471403917,0.00011563611471404404,0.0001156361149559975,0.00016676588822667936,1.4421609398598185,0.00017345417207094427
0.001,0.18990021929824552,0.31009978070175437,0.06018530701754385,0.4398146929824562,0.0001297149122807817,-0.00012971491228069149,0.00012971491228070176,0.00012971491277486723,0.0001870385996656761,1.4419205599767828,0.00019457236842117254
0.001122018454301963,0.18988807416083991,0.3101119258391362,0.06020786227271181,0.43979213772731207,0.00014550359089632314,-0.0001455035908962607,0.00014550359089628192,0.00014550359087973114,0.00020982188482206396,1.442039220842985,0.00021825538634448471
0.0012589254117941675,0.18987445482587556,0.3101255451741243,0.06023315532337389,0.43976684467662625,0.00016320872636169104,-0.00016320872636171185,0.000163208726361718,0.00016320872837650307,0.0002353565838518525,1.442058805267528,0.00024481308954253655
0.0014125375446227555,0.18985918340756758,0.31014081659243176,0.0602615165288026,0.43973848347119804,0.0001830615701618188,-0.00018306157016177022,0.000183061570161769,0.00018306156992465097,0.00026401335736161465,1.4422107134243622,0.0002745923552427282
0.001584893192461114,0.18984206082739002,0.31015793917260964,0.060293315606275495,0.43970668439372484,0.00020532092439282112,-0.00020532092439282112,0.00020532092439282392,0.000205320924359356,0.0002960200045876078,1.4417429958064516,0.0003079813865892317
0.0017782794100389228,0.18982286435935325,0.31017713564064653,0.06032896618977236,0.4396710338102279,0.00023027633284067317,-0.00023027633284063848,0.00023027633284064287,0.0002302763314671918,0.000331987925480108,1.4416936528598787,0.00034541449926100976
0.001995262314968879,0.18980134490919343,0.3101986550907935,0.060368930882918816,0.43963106911709426,0.00025825161804207686,-0.0002582516180420699,0.0002582516180420881,0.00025825161826605806,0.0003722770490711041,1.4415284270845259,0.0003873774270631153
0.00223872113856834,0.189777224003358,0.3102227759966415,0.06041372685090622,0.43958627314909426,0.00028960879563433295,-0.00028960879563431907,0.00028960879563431967,0.0002896087956589711,0.0004175093508212902,1.4416321502642773,0.0004344131934514994
0.002511886431509582,0.1897501904627547,0.3102498095372454,0.06046393199774127,0.4395360680022586,0.0003247523984189482,-0.0003247523984189066,0.000324752398418908,0.0003247523993298224,0.0004681369994149073,1.4415197559155268,0.0004871285976284223
0.002818382931264455,0.18971989673601247,0.3102801032639875,0.06052019177597682,0.43947980822402327,0.00036413424318376686,-0.00036413424318376686,0.00036413424318376805,0.0003641342442368707,0.000524901166833116,1.441504541637303,0.0005462013647756503
0.0031622776601683794,0.18968595486675044,0.3103140451332493,0.06058322667603473,0.43941677332396556,0.0004082586732243043,-0.0004082586732242974,0.00040825867322429114,0.0004082586737698737,0.000588437936336877,1.4413360306670822,0.0006123880098364565
0.0035481338923357532,0.1896479320704439,0.310352067929556,0.06065384044060415,0.43934615955939593,0.0004576883084228822,-0.00045768830842290303,0.00045768830842289837,0.00045768830881524376,0.0006596593360375191,1.44128509147435,0.0006865324626343233
0.003981071705534973,0.1896053458981899,0.3103946541018102,0.06073292904621897,0.439267070953781,0.0005130503323532154,-0.0005130503323532848,0.0005130503323532893,0.0005130503320727399,0.0007394262780776353,1.4412353561693048,0.0007695754985298231
0.004466835921509635,0.18955765896787502,0.3104423410321249,0.06082149048823197,0.43917850951176807,0.000575043341762449,-0.0005750433417623796,0.0005750433417623863,0.0005750433426610906,0.0008286454755526155,1.4410139446497143,0.0008625650126436735
0.005011872336272725,0.18950427324811792,0.31049572675188186,0.06092063539635227,0.43907936460364794,0.0006444447774466011,-0.0006444447774465734,0.0006444447774465754,0.0006444447784154506,0.000928581235636979,1.4409011706482566,0.0009666671661699017
0.005623413251903491,0.189444523887407,0.31055547611258794,0.06103159849481262,0.4389684015051925,0.0007221189463683941,-0.0007221189463684011,0.0007221189463684236,0.000722118945677724,0.001040389066637137,1.4407447316878106,0.0010831784195525912
0.00630957344480193,0.18937767259067534,0.3106223274093244,0.0611557509030312,0.438844249096969,0.0008090256321219291,-0.000809025632121825,0.0008090256321218333,0.0008090256331121588,0.001165461117712859,1.4405737840834099,0.0012135384481828937
0.00707945784384138,0.18930290055870946,0.31069709944129065,0.06129461324811101,0.43870538675188886,0.0009062292736777555,-0.0009062292736777208,0.000906229273677717,0.0009062292738269517,0.001305312288545735,1.4403775360659887,0.0013593439105166333
0.00794328234724282,0.1892193010232992,0.3107806989767038,0.06144986952816047,0.43855013047183655,0.0010149086697125165,-0.0010149086697125859,0.0010149086697125742,0.0010149086694257515,0.001461646472817394,1.4401753742476282,0.0015223630045687747
0.008912509381337459,0.1891258714334076,0.3108741285665983,0.06162338162367518,0.43837661837631897,0.0011363671365730577,-0.00113636713657312,0.001136367136573098,0.0011363671365333021,0.001636241613259083,1.4398881845974008,0.0017045507048595865
0.01,0.189021505376344,0.3109784946236559,0.06181720430107527,0.43818279569892477,0.001272043010752788,-0.001272043010752684,0.0012720430107526883,0.001272043012350711,0.0018311599234712974,1.4395424570489557,0.001908064516129182
0.01122018454301964,0.18890498435367614,0.3110950156463285,0.06203360048603263,0.4379663995139626,0.0014235203402233332,-0.00142352034022325,0.00142352034022322,0.0014235203416115645,0.002048795675824631,1.4392458020692516,0.0021352805103349998
0.012589254117941675,0.18877496957570827,0.3112250304242917,0.062275056502256024,0.43772494349774393,0.0015925395515792307,-0.0015925395515792237,0.0015925395515792226,0.0015925395523200543,0.002291516208929249,1.4389069367796277,0.002388809327368846
0.01412537544622754,0.18862999399213487,0.31137000600786524,0.06254429687174966,0.4374557031282502,0.0017810078102247495,-0.0017810078102247703,0.0017810078102247708,0.0017810078134498347,0.0025620076406978574,1.4385156658775216,0.0026715117153371243
0.01584893192461114,0.18846845484044716,0.31153154515955306,0.06284429815345544,0.43715570184654445,0.0019910087074188065,-0.0019910087074188135,0.001991008707418814,0.001991008708444407,0.0028632420656435394,1.4380861587896399,0.00298651306112821
0.01778279410038923,0.18828860706932604,0.31171139293067407,0.063178301156966,0.4368216988430339,0.0022248108098762154,-0.0022248108098762084,0.0022248108098762067,0.0022248108116993764,0.0031983944731713712,1.4376028992453262,0.003337216214814323
0.01995262314968881,0.1880885580812453,0.3119114419187547,0.06354982070625881,0.43645017929374125,0.0024848744943810896,-0.002484874494381166,0.00248487449438117,0.0024848744972402964,0.0035709883442490743,1.4370900213330762,0.0037273117415716345
0.0223872113856834,0.18786626433688508,0.3121337356631148,0.0639626519457848,0.43603734805421535,0.002773856362049354,-0.002773856362049347,0.0027738563620493444,0.0027738563654723164,0.00398475297342132,1.4365390447110693,0.004160784543074031
