Omega,switch_rate,excited_population,coherence_l1,J_hot,J_cold,drive_power,sigma_full,sigma_coarse,sigma_hidden,FCS_mean_hot,FCS_variance_hot,Fano_hot
0.0,0.001,0.23685088785483333,0.0,0.00011742439150685957,-0.00011742439150687345,0.0,0.00016439414810963117,1.180828230112523e-17,0.00016439414810961935,0.00011742439175114184,0.00018047728260998732,1.5369658715582177
0.0,0.001122018454301963,0.23686034085417923,0.0,0.0001317323744551846,-0.0001317323744551291,0.0,0.00018442532423714744,-4.723312920450092e-17,0.00018442532423719468,0.00013173237561635553,0.00020247769256241793,1.5370381928896062
0.0,0.0012589254117941675,0.23687094388478358,0.0,0.00014778103534390796,-0.00014778103534392878,0.0,0.0002068934494815128,1.7712423451687845e-17,0.0002068934494814951,0.00014778103517489036,0.00022711902341048936,1.5368617708064303
0.0,0.001412537544622754,0.23688283639114863,0.0,0.00016578143626999609,-0.00016578143626994057,0.0,0.00023209401077788349,-4.723312920450092e-17,0.00023209401077793073,0.00016578143635238252,0.00025478556880585685,1.5368763500413187
0.0,0.001584893192461114,0.2368961746055338,0.0,0.0001859700490905447,-0.00018597004909049614,0.0,0.00026035806872666545,-4.13289880539383e-17,0.00026035806872670676,0.0001859700484787365,0.0002858173908630272,1.5369001255904233
0.0,0.0017782794100389228,0.23691113353789336,0.0,0.00020861176745046173,-0.00020861176745046173,0.0,0.0002920564744306464,-0.0,0.0002920564744306464,0.00020861176897168747,0.00032057908917566325,1.5367258077331767
0.0,0.001995262314968879,0.23692790919370568,0.0,0.00023400326366573854,-0.0002340032636657316,0.0,0.00032760456913202005,-5.904141150562615e-18,0.00032760456913202596,0.00023400326447381014,0.0003595940714337436,1.5367053628176615
0.0,0.00223872113856834,0.23694672104365555,0.0,0.0002624767267675465,-0.00026247672676762285,0.0,0.0003674674174747178,6.494555265618876e-17,0.00036746741747465284,0.0002624767273806372,0.00040335755665409003,1.5367364591876786
0.0,0.0025118864315095794,0.23696781477102885,0.0,0.00029440402098585006,-0.00029440402098579455,0.0,0.00041216562938007907,-4.723312920450092e-17,0.0004121656293801263,0.00029440402142786866,0.00045241165568913586,1.536703382973253
0.0,0.002818382931264455,0.23699146532485682,0.0,0.00033020130692285043,-0.0003302013069227949,0.0,0.0004622818296918796,-4.723312920450092e-17,0.0004622818296919268,0.00033020130744728065,0.0005074027885988391,1.5366468186375977
0.0,0.0031622776601683794,0.23701798030851934,0.0,0.0003703341705611485,-0.0003703341705612387,0.0,0.0005184678387857883,7.6753834957314e-17,0.0005184678387857116,0.0003703341719102716,0.0005690479012713075,1.5365795123253772
0.0,0.0035481338923357532,0.23704770373550613,0.0,0.00041532330793137007,-0.00041532330793137007,0.0,0.0005814526311039181,-0.0,0.0005814526311039181,0.0004153233082213311,0.0006381588536556592,1.5365351306399018
0.0,0.003981071705534973,0.23708102018542723,0.0,0.0004657508155923029,-0.0004657508155923376,0.0,0.0006520511418292935,2.9520705752813074e-17,0.000652051141829264,0.00046575081658672724,0.000715624450054827,1.5364963937139353
0.0,0.0044668359215096305,0.23711835939453463,0.0,0.0005222671388416811,-0.0005222671388416464,0.0,0.0007311739943782841,-2.9520705752813074e-17,0.0007311739943783136,0.0005222671411662336,0.0008024057238681723,1.5363894463595456
0.0,0.005011872336272725,0.23716020131573867,0.0,0.0005855987305019017,-0.0005855987305019225,0.0,0.000819838222702704,1.7712423451687845e-17,0.0008198382227026863,0.0005855987323675895,0.0008996688665065539,1.5363231113379827
0.0,0.005623413251903491,0.2372070816828395,0.0,0.0006565564729005269,-0.0006565564729005546,0.0,0.0009191790620607931,2.361656460225046e-17,0.0009191790620607695,0.0006565564733880424,0.0010086383132046099,1.5362552256924862
0.0,0.00630957344480193,0.237259598112552,0.0,0.0007360449138344438,-0.0007360449138344785,0.0,0.0010304628793682906,2.9520705752813074e-17,0.0010304628793682612,0.0007360449160065714,0.0011306655145273722,1.5361365725638374
0.0,0.00707945784384138,0.23731841677524787,0.0,0.0008250723633602686,-0.0008250723633601992,0.0,0.0011551013087042373,-5.904141150562615e-17,0.0011551013087042962,0.0008250723654532,0.0012673413051665953,1.5360365444677857
0.0,0.007943282347242814,0.23738427966093045,0.0,0.0009247618915113609,-0.000924761891511354,0.0,0.0012946666481158916,-5.904141150562615e-18,0.0012946666481158974,0.0009247618945450386,0.0014203640604742538,1.5359240782439894
0.0,0.008912509381337459,0.2374580124600947,0.0,0.0010363632567071401,-0.0010363632567071332,0.0,0.0014509085593899824,-5.904141150562615e-18,0.0014509085593899882,0.0010363632597931531,0.0015916379929731097,1.5357916038926192
0.0,0.01,0.23754053306928233,0.0,0.0011612657796885584,-0.001161265779688593,0.0,0.0016257720915640512,2.9520705752813074e-17,0.0016257720915640217,0.001161265782910377,0.0017832779521986082,1.535632908884422
0.0,0.011220184543019636,0.23763286071745515,0.0,0.00130101215712497,-0.00130101215712497,0.0,0.001821417019974958,-0.0,0.001821417019974958,0.0013010121603453495,0.001997650991199639,1.5354591233562098
0.0,0.012589254117941675,0.2377361256909101,0.0,0.0014573131811629891,-0.00145731318116301,0.0,0.0020402384536282263,1.7712423451687845e-17,0.0020402384536282086,0.0014573131846564418,0.0022373815554875168,1.5352784693394332
0.0,0.014125375446227547,0.23785157961021472,0.0,0.0016320632945144853,-0.0016320632945145547,0.0,0.002284888612320418,5.904141150562615e-17,0.002284888612320359,0.0016320632997802373,0.0025053390321433324,1.5350746704988
0.0,0.01584893192461114,0.23798060618135938,0.0,0.0018273568633132564,-0.0018273568633132703,0.0,0.0025582996086385866,1.180828230112523e-17,0.002558299608638575,0.001827356868772211,0.0028046833084921976,1.53483063785819
0.0,0.01778279410038923,0.23812473230357514,0.0,0.0020455049898202016,-0.002045504989820153,0.0,0.002863706985748185,-4.13289880539383e-17,0.0028637069857482263,0.0020455049954244235,0.003138996989684014,1.5345829009000787
0.0,0.0199526231496888,0.23828563936657413,0.0,0.00228905261182627,-0.0022890526118263185,0.0,0.003204673656556875,4.13289880539383e-17,0.003204673656556834,0.002289052618680173,0.0035120807022246026,1.5342944384780486
0.0,0.0223872113856834,0.23846517450868845,0.0,0.002560795542894012,-0.0025607955428939982,0.0,0.0035851137600515894,-1.180828230112523e-17,0.003585113760051601,0.0025607955497743856,0.003928196470396018,1.5339750456619252
0.0,0.025118864315095808,0.2386653615330762,0.0,0.002863796995023149,-0.0028637969950230865,0.0,0.004009315793032283,-5.3137270355063536e-17,0.004009315793032336,0.002863797003044108,0.00439200636759909,1.5336304783232027
0.0,0.02818382931264455,0.23888841109021,0.0,0.0032014029907902475,-0.0032014029907902544,0.0,0.0044819641871063605,5.904141150562615e-18,0.0044819641871063545,0.0032014029999052314,0.004908534262352346,1.533244725046378
0.0,0.03162277660168379,0.23913672963045657,0.0,0.0035772559139019,-0.0035772559139019555,0.0,0.005008158279462771,4.723312920450092e-17,0.005008158279462724,0.0035772559243318906,0.0054832962401014,1.5328219048586782
0.0,0.03548133892335755,0.2394129265101082,0.0,0.0039953052648209475,-0.003995305264820927,0.0,0.005593427370749285,-1.7712423451687845e-17,0.0055934273707493026,0.003995305275607297,0.006122238424696837,1.5323581059187625
0.0,0.039810717055349734,0.23971981849845164,0.0,0.004459814482633995,-0.004459814482633953,0.0,0.0062437402756875095,-3.542484690337569e-17,0.006243740275687545,0.004459814495939095,0.0068317209914731955,1.5318397206192884
0.0,0.04466835921509633,0.24006043078456324,0.0,0.004975362468924549,-0.004975362468924535,0.0,0.006965507456494342,-1.180828230112523e-17,0.006965507456494354,0.00497536248320227,0.007618692196695428,1.53128384563286
0.0,0.05011872336272725,0.24043799342475186,0.0,0.005546838210653826,-0.0055468382106537845,0.0,0.007765573494915273,-3.542484690337569e-17,0.007765573494915309,0.005546838225522514,0.00849038997886301,1.530672003339923
0.0,0.05623413251903491,0.24085593201225275,0.0,0.006179426657885179,-0.006179426657885186,0.0,0.008651197321039264,5.904141150562615e-18,0.008651197321039259,0.0061794266756994886,0.00945458259453398,1.5300096741521343
0.0,0.06309573444801933,0.24131785120077048,0.0,0.00687858378515116,-0.006878583785151167,0.0,0.00963001729921164,5.904141150562615e-18,0.009630017299211634,0.006878583804363181,0.010519389661105482,1.5292958493044582
0.0,0.0707945784384138,0.24182750958824537,0.0,0.007649998575728123,-0.0076499985757281855,0.0,0.010709998006019497,5.3137270355063536e-17,0.010709998006019444,0.007649998596762193,0.011693237592070482,1.5285280701907005
0.0,0.07943282347242818,0.24238878438742498,0.0,0.008499539547300428,-0.008499539547300455,0.0,0.011899355366220655,2.361656460225046e-17,0.01189935536622063,0.008499539571931232,0.012984754925879527,1.5277009790930571
0.0,0.08912509381337459,0.24300562430163936,0.0,0.009433183425115899,-0.009433183425115892,0.0,0.013206456795162243,-5.904141150562615e-18,0.013206456795162249,0.009433183450586186,0.014402805061567152,1.5268233822667945
0.0,0.1,0.24368198911917466,0.0,0.010456923712522603,-0.010456923712522576,0.0,0.01463969319753159,-2.361656460225046e-17,0.014639693197531615,0.010456923740348753,0.01595615921546637,1.525894193327474
0.0,0.11220184543019641,0.24442177477354635,0.0,0.011576657262806156,-0.011576657262806198,0.0,0.016207320167928703,3.542484690337569e-17,0.016207320167928668,0.011576657293902105,0.017653447621888266,1.5249175278935703
0.0,0.12589254117941676,0.24522872302720594,0.0,0.012798047577184113,-0.012798047577184099,0.0,0.01791726660805773,-1.180828230112523e-17,0.01791726660805774,0.012798047610780435,0.019502947475972567,1.523900212681211
0.0,0.1412537544622754,0.24610631555773624,0.0,0.014126364494532084,-0.014126364494532036,0.0,0.019776910292344824,-4.13289880539383e-17,0.019776910292344865,0.014126364531167019,0.021512373296262495,1.5228527657487327
0.0,0.15848931924611143,0.2470576530846536,0.0,0.015566301238693347,-0.015566301238693292,0.0,0.021792821734170575,-4.723312920450092e-17,0.021792821734170624,0.01556630127936555,0.023688547951264103,1.5217839823430168
0.0,0.1778279410038923,0.24808532128105004,0.0,0.0171217714634328,-0.0171217714634328,0.0,0.02397048004880592,-0.0,0.02397048004880592,0.017121771506908596,0.026037202406299153,1.5207072700271231
0.0,0.19952623149688808,0.24919124655062272,0.0,0.018795690957720212,-0.018795690957720226,0.0,0.026313967340808327,1.180828230112523e-17,0.026313967340808316,0.018795691005630378,0.0285626700175513,1.519639262477509
0.0,0.223872113856834,0.25037654626398603,0.0,0.02058975096463067,-0.020589750964630733,0.0,0.028825651350483067,5.3137270355063536e-17,0.028825651350483015,0.020589751015853763,0.031267591377209907,1.5185997806935299
0.0,0.25118864315095824,0.2516413796408911,0.0,0.0225041924778851,-0.022504192477885078,0.0,0.0315058694690391,-1.7712423451687845e-17,0.03150586946903912,0.02250419253386108,0.03415260925632229,1.5176109609324726
0.0,0.2818382931264455,0.252984806990892,0.0,0.024537593189665974,-0.024537593189665925,0.0,0.03435263046553227,-4.13289880539383e-17,0.03435263046553231,0.02453759324924614,0.037216043561448274,1.5166949416520974
0.0,0.31622776601683794,0.2544046662930002,0.0,0.026686680682587227,-0.026686680682587206,0.0,0.03736135295562208,-1.7712423451687845e-17,0.0373613529556221,0.026686680746676256,0.040453797561728407,1.5158796984059848
0.0,0.3548133892335757,0.2558974768828648,0.0,0.02894618665139348,-0.028946186651393445,0.0,0.0405246613119508,-2.9520705752813074e-17,0.04052466131195083,0.02894618671933148,0.043858952816542174,1.5151893146343633
0.0,0.3981071705534973,0.25745838009688826,0.0,0.031308757062375514,-0.031308757062375514,0.0,0.043832259887325725,-0.0,0.043832259887325725,0.03130875713655822,0.047421900744818085,1.5146529304238994
0.0,0.4466835921509635,0.25908112590148263,0.0,0.03376493191552221,-0.03376493191552217,0.0,0.047270904681731014,-3.542484690337569e-17,0.04727090468173105,0.03376493199463162,0.05113000294485299,1.514293082331168
0.0,0.5011872336272725,0.2607581126936229,0.0,0.03630320548631316,-0.036303205486313106,0.0,0.05082448768083832,-4.723312920450092e-17,0.050824487680838366,0.03630320557143779,0.05496798934238187,1.514135968908182
0.0,0.5623413251903491,0.26248048459624324,0.0,0.03891017359124038,-0.03891017359124041,0.0,0.054474243027736596,2.361656460225046e-17,0.054474243027736576,0.038910173681863766,0.05891782020456971,1.5142009050458598
0.0,0.6309573444801936,0.26423828683908346,0.0,0.041570768770993693,-0.041570768770993693,0.0,0.05819907627939117,-0.0,0.05819907627939117,0.04157076886908006,0.062959039856841,1.5145026558233645
0.0,0.707945784384138,0.26602067552018727,0.0,0.0442685777837582,-0.04426857778375817,0.0,0.06197600889726143,-2.361656460225046e-17,0.06197600889726145,0.04426857789005621,0.06706933894171949,1.5150551957709233
0.0,0.7943282347242822,0.26781617362737015,0.0,0.046986229117225664,-0.04698622911722571,0.0,0.06578072076411604,4.13289880539383e-17,0.065780720764116,0.04698622923077993,0.07122435888118775,1.5158560294625603
0.0,0.8912509381337459,0.2696129611824799,0.0,0.04970583214858931,-0.049705832148589264,0.0,0.06958816500802495,-4.13289880539383e-17,0.06958816500802499,0.04970583226856922,0.07539923255982262,1.516909165758004
0.0,1.0,0.2713991842705071,0.0,0.05240944488849009,-0.05240944488849009,0.0,0.07337322284388612,-0.0,0.07337322284388612,0.052409445017747025,0.07956814169464198,1.5182023329515968
0.0,1.1220184543019642,0.27316326595243734,0.0,0.0550795445761838,-0.05507954457618379,0.0,0.07711136240665731,-1.180828230112523e-17,0.07711136240665732,0.055079544711373316,0.08370561791256713,1.5197224005971648
