Omega,switch_rate,interrogation_time,best_fixed_menu_protocol,p_full,p_effective,absolute_probability_difference,bernoulli_KL_nats_per_shot,shots_for_log_likelihood_log20,stationary_hidden_entropy_rate
0.0,1.0,1.0,prep_z-_measure_z+,0.23325982806861345,0.26744183804380167,0.03418200997518822,0.0030692926330683906,976.0334486448556,0.07337322284388612
0.0,1.1220184543019633,1.0,prep_z-_measure_z+,0.2349995290718601,0.26744183804380167,0.03244230897194156,0.0027604971331461753,1085.2147743909138,0.07711136240665736
0.0,1.2589254117941673,1.0,prep_z-_measure_z+,0.23677543222169908,0.26744183804380167,0.030666405822102588,0.0024626397226197062,1216.4720019894714,0.08077926517403233
0.0,1.4125375446227544,1.0,prep_z-_measure_z+,0.23857340591720141,0.26744183804380167,0.028868432126600257,0.002178859216605069,1374.9085992906466,0.08435538661314561
0.0,1.5848931924611136,1.0,prep_z-_measure_z+,0.2403782546594982,0.26744183804380167,0.02706358338430348,0.0019118915760774867,1566.8944363990322,0.0878204237072465
0.0,1.7782794100389228,1.0,prep_z-_measure_z+,0.2421742461455204,0.26744183804380167,0.02526759189828126,0.0016639430063845294,1800.381540749534,0.09115767019744515
0.0,1.9952623149688797,1.0,prep_z-_measure_z+,0.24394571214932864,0.26744183804380167,0.02349612589447303,0.001436598131010651,2085.295956390034,0.09435324964466967
0.0,2.23872113856834,1.0,prep_z-_measure_z+,0.24567767540405086,0.26744183804380167,0.02176416263975081,0.001230773256985753,2434.0245098359887,0.09739622566192954
0.0,2.51188643150958,1.0,prep_z-_measure_z+,0.24735644541711016,0.26744183804380167,0.02008539262669151,0.0010467191659100233,2862.0210378487577,0.10027859690213438
0.0,2.8183829312644537,1.0,prep_z-_measure_z+,0.24897012525117468,0.26744183804380167,0.018471712792626993,0.000884071256152693,3388.5642731908715,0.1029951908913699
0.0,3.1622776601683795,1.0,prep_z-_measure_z+,0.2505089805021655,0.26744183804380167,0.016932857541636148,0.0007419385771166853,4037.70927398866,0.10554347518018763
0.0,3.548133892335755,1.0,prep_z-_measure_z+,0.25196564025810797,0.26744183804380167,0.015476197785693702,0.0006190186889073346,4839.4859916781015,0.10792330648080935
0.0,3.981071705534973,1.0,prep_z-_measure_z+,0.25333512418121074,0.26744183804380167,0.014106713862590936,0.0005137232885723785,5831.412241167887,0.11013663867035937
0.0,4.466835921509632,1.0,prep_z-_measure_z+,0.25461471441047817,0.26744183804380167,0.0128271236333235,0.00042430039110109494,7060.4042239504315,0.1121872091555742
0.0,5.011872336272724,1.0,prep_z-_measure_z+,0.2558037098320119,0.26744183804380167,0.011638128211789778,0.00034894200143388045,8585.186825443367,0.11408022058675446
0.0,5.623413251903491,1.0,prep_z-_measure_z+,0.25690310935973737,0.26744183804380167,0.010538728684064302,0.00028587059307050473,10479.329970169923,0.11582203175652549
0.0,6.309573444801933,1.0,prep_z-_measure_z+,0.2579152694879404,0.26744183804380167,0.009526568555861259,0.0002334021215185493,12835.068739149869,0.1174198681448144
0.0,7.07945784384138,1.0,prep_z-_measure_z+,0.2588435721084914,0.26744183804380167,0.008598265935310268,0.0001899868158317889,15768.106120618188,0.11888155930705545
0.0,7.943282347242816,1.0,prep_z-_measure_z+,0.25969212583833323,0.26744183804380167,0.00774971220546844,0.00015423116828128854,19423.650270808692,0.12021530737700323
0.0,8.912509381337456,1.0,prep_z-_measure_z+,0.26046551203612756,0.26744183804380167,0.006976326007674116,0.00012490542193750905,23984.005074277513,0.12142948850047845
0.0,10.0,1.0,prep_z-_measure_z+,0.26116857775067126,0.26744183804380167,0.0062732602931304116,0.00010094078195372735,29678.116372501216,0.12253248708255243
0.0,11.220184543019636,1.0,prep_z-_measure_z+,0.2618062725364677,0.26744183804380167,0.005635565507333962,8.14199712585997e-05,36793.580582817725,0.12353256130828835
0.0,12.589254117941675,1.0,prep_z-_measure_z+,0.26238352364358597,0.26744183804380167,0.005058314400215702,6.556395979477863e-05,45691.75325790137,0.12443773743662985
0.0,14.125375446227547,1.0,prep_z-_measure_z+,0.2629051434451206,0.26744183804380167,0.004536694598681057,5.2716929288582244e-05,56826.759714223816,0.1252557297970608
0.0,15.848931924611142,1.0,prep_z-_measure_z+,0.26337576322664374,0.26744183804380167,0.0040660748171579275,4.2330888031820967e-05,70769.41715236494,0.1259938831601729
0.0,17.78279410038923,1.0,prep_z-_measure_z+,0.2637997880987919,0.26744183804380167,0.003642049945009773,3.395084569445678e-05,88237.33878426216,0.12665913412923036
0.0,19.952623149688797,1.0,prep_z-_measure_z+,0.2641813685404856,0.26744183804380167,0.003260469503316099,2.7201085873497684e-05,110132.81923692486,0.1272579883411235
0.0,22.3872113856834,1.0,prep_z-_measure_z+,0.26452438481491936,0.26744183804380167,0.0029174532288823163,2.1772811059044776e-05,137590.5144002761,0.12779651051369165
0.0,25.11886431509581,1.0,prep_z-_measure_z+,0.26483244117140653,0.26744183804380167,0.002609396872395142,1.741325667670981e-05,172037.44992519266,0.12828032468599546
0.0,28.18382931264455,1.0,prep_z-_measure_z+,0.26510886733374983,0.26744183804380167,0.0023329707100518404,1.3916256201038351e-05,215268.54854328325,0.12871462233373746
0.0,31.622776601683793,1.0,prep_z-_measure_z+,0.265356725276794,0.26744183804380167,0.0020851127670076797,1.1114170317802399e-05,269541.6920825392,0.12910417637856478
0.0,35.48133892335755,1.0,prep_z-_measure_z+,0.26557881971182373,0.26744183804380167,0.0018630183319779392,8.871055882940125e-06,337697.37369314354,0.1294533594305804
0.0,39.810717055349734,1.0,prep_z-_measure_z+,0.2657777110469893,0.26744183804380167,0.0016641269968123984,7.076934627001184e-06,423309.30430304364,0.1297661648976462
0.0,44.668359215096324,1.0,prep_z-_measure_z+,0.26595572987044575,0.26744183804380167,0.0014861081733559267,5.643019545479655e-06,530873.9850021828,0.1300462298575168
0.0,50.11872336272725,1.0,prep_z-_measure_z+,0.26611499223116863,0.26744183804380167,0.0013268458126330374,4.497763356504968e-06,666049.3307682276,0.13029685881751865
0.0,56.23413251903491,1.0,prep_z-_measure_z+,0.26625741517422064,0.26744183804380167,0.0011844228695810366,3.5836045259021385e-06,835955.0424442674,0.13052104768184858
0.0,63.09573444801933,1.0,prep_z-_measure_z+,0.266384732131411,0.26744183804380167,0.0010571059123906656,2.854299697382847e-06,1049550.7098644285,0.1307215074105877
0.0,70.79457843841381,1.0,prep_z-_measure_z+,0.2664985078817861,0.26744183804380167,0.0009433301620155876,2.2727452598402713e-06,1318111.7683926139,0.13090068699005541
0.0,79.43282347242817,1.0,prep_z-_measure_z+,0.2666001528847826,0.26744183804380167,0.0008416851590190566,1.8092042877160524e-06,1655828.6390841007,0.13106079544448673
0.0,89.12509381337459,1.0,prep_z-_measure_z+,0.26669093685725154,0.26744183804380167,0.0007509011865501347,1.4398675919490185e-06,2080560.9420647763,0.13120382270751257
0.0,100.0,1.0,prep_z-_measure_z+,0.26677200151761427,0.26744183804380167,0.0006698365261874062,1.1456888680434762e-06,2614786.926113617,0.13133155924186543
0.0,112.20184543019641,1.0,prep_z-_measure_z+,0.2668443724598039,0.26744183804380167,0.0005974655839977583,9.114438044668417e-07,3286798.6582084177,0.1314456143500872
0.0,125.89254117941675,1.0,prep_z-_measure_z+,0.2669089701486667,0.26744183804380167,0.0005328678951349586,7.249715646930792e-07,4132206.584988269,0.13154743316050213
0.0,141.2537544622754,1.0,prep_z-_measure_z+,0.2669666200498625,0.26744183804380167,0.00047521799393918096,5.765643229690672e-07,5195833.585621829,0.13163831230369266
0.0,158.48931924611142,1.0,prep_z-_measure_z+,0.2670180619219838,0.26744183804380167,0.00042377612181787594,4.5847669760006905e-07,6534099.310249306,0.1317194143172113
0.0,177.82794100389228,1.0,prep_z-_measure_z+,0.2670639583089084,0.26744183804380167,0.00037787973489328275,3.645320429212064e-07,8218021.794593016,0.13179178083200277
0.0,199.52623149688807,1.0,prep_z-_measure_z+,0.2671049022769701,0.26744183804380167,0.0003369357668315809,2.898068495494092e-07,10336996.100029195,0.1318563446044406
0.0,223.872113856834,1.0,prep_z-_measure_z+,0.2671414244449275,0.26744183804380167,0.00030041359887417185,2.3037801099537892e-07,13003551.253049413,0.13191394046415894
0.0,251.18864315095823,1.0,prep_z-_measure_z+,0.2671739993564152,0.26744183804380167,0.0002678386873864458,1.831206229598709e-07,16359338.588589644,0.13196531525100755
0.0,281.8382931264455,1.0,prep_z-_measure_z+,0.2672030512448965,0.26744183804380167,0.00023878679890515508,1.455463351620126e-07,20582670.59915551,0.13201113681520385
0.0,316.22776601683796,1.0,prep_z-_measure_z+,0.2672289592395253,0.26744183804380167,0.00021287880427639516,1.1567422005258517e-07,25898011.43411332,0.13205200215375423
0.0,354.81338923357566,1.0,prep_z-_measure_z+,0.26725206205925606,0.26744183804380167,0.00018977598454561484,9.19276792950318e-08,32587924.513350513,0.13208844475398232
0.0,398.1071705534973,1.0,prep_z-_measure_z+,0.2672726622393041,0.26744183804380167,0.00016917580449754555,7.305218436724423e-08,41008113.5766454,0.13212094121187035
0.0,446.6835921509635,1.0,prep_z-_measure_z+,0.2672910299327069,0.26744183804380167,0.0001508081110947468,5.804967454243874e-08,51606357.78179742,0.13214991718926125
0.0,501.18723362727246,1.0,prep_z-_measure_z+,0.2673074063254857,0.26744183804380167,0.00013443171831595269,4.612626166759044e-08,64946348.679690935,0.13217575276997176
0.0,562.341325190349,1.0,prep_z-_measure_z+,0.26732200670238015,0.26744183804380167,0.00011983134142151686,3.6650557129391174e-08,81737700.82069568,0.13219878727070813
0.0,630.9573444801937,1.0,prep_z-_measure_z+,0.2673350231963151,0.26744183804380167,0.00010681484748659154,2.9120478912215758e-08,102873729.60399048,0.13221932355850835
0.0,707.945784384138,1.0,prep_z-_measure_z+,0.2673466272528162,0.26744183804380167,9.521079098545604e-05,2.3136817373697253e-08,129479012.82912163,0.13223763192233576
0.0,794.3282347242822,1.0,prep_z-_measure_z+,0.2673569718373159,0.26744183804380167,8.486620648578969e-05,1.8382191887403375e-08,162969263.5080615,0.13225395354250039
0.0,891.2509381337459,1.0,prep_z-_measure_z+,0.26736619341089113,0.26744183804380167,7.564463291054313e-05,1.4604301386468175e-08,205126708.5140909,0.13226850359779066
0.0,1000.0,1.0,prep_z-_measure_z+,0.26737441369855874,0.26744183804380167,6.742434524292795e-05,1.160259664911747e-08,258194985.497652,0.13228147404665774
0.0,1122.018454301964,1.0,prep_z-_measure_z+,0.26738174127024744,0.26744183804380167,6.0096773554230154e-05,9.21767765383523e-09,324998593.57823676,0.1322930361154534
0.0,1258.9254117941675,1.0,prep_z-_measure_z+,0.2673882729546133,0.26744183804380167,5.356508918835656e-05,7.322858099808043e-09,409093312.02696925,0.1323033425236682
0.0,1412.5375446227554,1.0,prep_z-_measure_z+,0.26739409510240797,0.26744183804380167,4.77429413937025e-05,5.817458659537571e-09,514955489.8241634,0.13231252947315048
0.0,1584.893192461114,1.0,prep_z-_measure_z+,0.2673992847150108,0.26744183804380167,4.255332879088414e-05,4.621471233933123e-09,648220473.9386553,0.13232071842584447
0.0,1778.2794100389228,1.0,prep_z-_measure_z+,0.26740391045300815,0.26744183804380167,3.792759079351837e-05,3.6713188089732116e-09,815982601.7375572,0.13232801769194735
0.0,1995.262314968881,1.0,prep_z-_measure_z+,0.2674080335364405,0.26744183804380167,3.380450736117924e-05,2.9164826013890243e-09,1027173031.0090733,0.13233452384845162
